city	latitude	longitude
San Ysidro	32.549999	-117.033333
Sand City	36.616669	-121.833336
Sanger	36.700001	-119.550003
Santa Ana	33.733334	-117.866669
Santa Barbara	34.416668	-119.699997
Santa Catalina Island	33.383331	-118.400002
Santa Clara	37.349998	-121.966667
Santa Clarita	34.416668	-118.500000
Santa Cruz	36.966667	-122.016670
Santa Fe Springs	33.933334	-118.083336
Santa Margarita	35.383331	-120.599998
Santa Maria	34.950001	-120.433334
Santa Monica	34.016666	-118.466667
Santa Paula	34.349998	-119.066666
Santa Rosa	38.433334	-122.699997
Santa Rosa Island	33.950001	-120.099998
Santa Ynez	34.599998	-120.083336
Santa Ysabel	33.099998	-116.666664
Santee	32.866669	-116.966667
Saratoga	37.266666	-122.016670
Saugus	34.400002	-118.533333
Sausalito	37.849998	-122.483330
Scotia	40.466667	-124.099998
Scotts Valley	37.049999	-122.000000
Seal Beach	33.750000	-118.066666
Searles	35.483334	-117.633331
Seaside	36.599998	-121.833336
Sebastopol	38.383331	-122.816666
Seeley	32.783333	-115.683334
Selby	38.049999	-122.233330
Selma	36.566666	-119.599998
Shafter	35.500000	-119.266670
Shandon	35.650002	-120.366669
Sherman Oaks	34.150002	-118.433334
Shingle Springs	38.650002	-120.916664
Sierra Madre	34.150002	-118.050003
Signal Hill	33.783333	-118.150002
Silicon Valley	37.366669	-122.033333
Simi Valley	34.266666	-118.766670
Solana Beach	32.983334	-117.250000
Soledad	36.416668	-121.316666
Solvang	34.583332	-120.133331
Somis	34.250000	-118.983330
Sonoma	38.283333	-122.449997
Sonora	37.983334	-120.366669
Soquel	36.983334	-121.933334
South El Monte	34.033333	-118.033333
South Gate	33.933334	-118.183334
South Lake Tahoe	38.933334	-119.966667
South Pasadena	34.099998	-118.150002
South San Francisco	37.650002	-122.416664
Spring Valley	32.733334	-116.966667
Springville	36.116669	-118.816666
Squaw Valley	39.183334	-120.233330
St. Helena	38.500000	-122.466667
Stanford	37.416668	-122.150002
Stanton	33.799999	-117.983330
Stockton	37.966667	-121.300003
Strathmore	36.133331	-119.050003
Studio City	34.133331	-118.383331
Suisun City	38.233334	-122.016670
Sultana	36.533333	-119.333336
Summerland	34.416668	-119.583336
Sun City	33.700001	-117.183334
Sun Valley	34.216667	-118.366669
Sunland–Tujunga	34.250000	-118.283333
Sunnyvale	37.366669	-122.033333
Sunol	37.583332	-121.883331
Sunset Beach	33.716667	-118.066666
Susanville	40.400002	-120.650002
Sutter	39.150002	-121.733330
Sutter Creek	38.383331	-120.800003
Sylmar	34.299999	-118.433334
Taft	35.133331	-119.449997
Tahoe City	39.166668	-120.133331
Tarzana	34.166668	-118.550003
Tecate	32.566666	-116.616669
Tehachapi	35.116669	-118.433334
Temecula	33.500000	-117.116669
Temple City	34.099998	-118.050003
Templeton	35.549999	-120.699997
Terminal Island	33.750000	-118.233330
Thermal	33.616669	-116.116669
Thornton	38.216667	-121.416664
Thousand Oaks	34.183334	-118.866669
Thousand Palms	33.816666	-116.383331
Tiburon	37.866669	-122.449997
Tipton	36.049999	-119.300003
Toluca Lake	34.133331	-118.349998
Topanga	34.099998	-118.599998
Torrance	33.833332	-118.333336
Tracy	37.733334	-121.416664
Traver	36.450001	-119.483330
Travis Air Force Base	38.250000	-121.916664
Treasure Island	37.816666	-122.366669
Truckee	39.333332	-120.199997
Tulare	36.200001	-119.333336
Tulelake	41.950001	-121.466667
Tuolumne City	37.950001	-120.233330
Turlock	37.500000	-120.833336
Tustin	33.733334	-117.800003
Twentynine Palms	34.133331	-116.066666
Ukiah	39.150002	-123.199997
Union City	37.583332	-122.033333
Universal City	34.133331	-118.349998
Upland	34.083332	-117.633331
Vacaville	38.349998	-121.966667
Valencia	34.383331	-118.550003
Vallejo	38.099998	-122.233330
Valley Center	33.233334	-117.000000
Valley Springs	38.183334	-120.816666
Van Nuys	34.183334	-118.433334
Venice	33.983334	-118.449997
Ventura	34.266666	-119.216667
Vernalis	37.616669	-121.283333
Vernon	34.000000	-118.199997
Victorville	34.533333	-117.283333
Vidal	34.116669	-114.500000
Villa Park	33.799999	-117.800003
Visalia	36.316666	-119.300003
Vista	33.183334	-117.233330
Volta	37.083332	-120.916664
Wallace	38.183334	-120.966667
Walnut	34.033333	-117.866669
Walnut Creek	37.900002	-122.050003
Walnut Grove	38.233334	-121.500000
Warm Springs	33.700001	-117.316666
Warner Springs	33.299999	-116.616669
Wasco	35.583332	-119.333336
Washington	39.349998	-120.783333
Waterford	37.633331	-120.766670
Watsonville	36.916668	-121.750000
